Название,Описание,Навыки,Опыт работы,Премиум-вакансия,Компания,Оклад,Название региона,Дата публикации вакансии
Front-end разработчик (Angular),"ПРОЕКТ: разработка сайта крупнейшей Российской страховой компании ОБЯЗАННОСТИ:  Участие в разработке сайта компании  Проведение рефакторинга проектов на Angular Участие в обсуждении и разработки API  ТРЕБОВАНИЯ:  Опыт front-end разработки от 3-х лет Опыт разработки на Angular 6+ от 2-х лет Опыт работы с RxJs, NGXS Опыт работы с Typescript, Javascript Опыт работы с SCSS, CSS, HTML5 Умение работать в команде, разбираться в чужом коде, готовность осваивать новые технологии, развиваться и делиться опытом  УСЛОВИЯ:  Конкурентоспособная заработная плата Корпоративное обучение и сертификация в технических и бизнес областях Корпоративные развлекательные программы Помощь при релокации в Москву Работа удаленно (на территории РФ, Беларуси) или в офисе (Москва, Саратов, Пенза, Нижний Новгород, Уфа)","Angular, CSS, HTML5",От 3 до 6 лет,Нет,Bell Integrator,70 000 - 150 000 (Рубли) (С вычетом налогов),Нижний Новгород,15:09:25 15/06/2022
Дизайнер,"Для работы с одной из ведущих сетей АЗС приглашаем в нашу команду дизайнера с профильным образованием, знанием основ композиции и развитым чувством прекрасного! Требования:  Опыт работы в рекламном агентстве или на стороне клиента от 3-х лет, работа с крупными торговыми сетями будет преимуществом. Успешное владение пакетом Adobe (Ph, Ill, Acrobat, In и т.д.). Готовность работать в активном тайминге. Желание обучаться в ходе работы.  Задачи:  Создание макетов в рамках брендбука под руководством Аккаунт-менеджера и Арт-директора. Верстка рекламных, акционных макетов POSm. Разработка новых упаковок для товаров. Ресайзы меню для кафе на видео мониторах. Разработка баннеров для мобильных приложений. Верстка презентаций и сбор кейсов по проектам. Ретушь и коллажирование для кейвижуалов. Создание брендбуков.  Мы предлагаем:  Оформление в соответствии с ТК РФ, полное обеспечение социальных гарантий (предоставление отпуска, оплата больничных листов). Офис расположен в шаговой доступности от м. Черная речка, БЦ «Прогресс». Мощная техника для реализации любых идей. Удобный график работы 5/2, 10:00-18:00, комбинированный режим работы (офис/дом).  Наличие ссылки на портфолио обязательно!","Adobe Photoshop, Adobe Acrobat, Adobe Illustrator, Проведение презентаций, Adobe After Effect",От 3 до 6 лет,Нет,РусХОЛТС,70 000 - 150 000 (Рубли) (С вычетом налогов),Санкт-Петербург,17:35:20 27/06/2022
Руководитель проектов - Департамент цифровой трансформации,"В офисе цифровой трансформации блока стратегии открыта позиция Руководителя проекта. Ключевые задачи:  заниматься «сутевой» проверкой проектов на соответствие Стратегии Банка; структурировать проработку проекта по всем направлениям и готовить качественные материалы под ключ; строить финансово-экономические модели, челенджить представляемые на рассмотрение модели; собирать и анализировать данные (проведение интервью с подразделениями и экспертами); сопровождать и контролировать проекты, готовить объективные «сутевые» статусы с предложениями по изменениям (закрытие, перенос, кадровые вопросы, изменение структуры проектов и др.); проводить анализ причин отклонения от плана с соответствующими решениями; готовить и защищать материалы перед высшим руководством Банка; участвовать в реализации специальных задач, направленных на повышение операционной и бизнес эффективности в соответствии со стратегическими целями Банка для получения экономического эффекта.  Что важно для нас:   высшее техническое, физико-математическое, финансовое или экономическое образование;  наличие компетенций в бухгалтерском и налоговом учете будет преимуществом;  опыт работы в консалтинге / финансовой сфере / банках / проектном офисе «in house» - будет преимуществом; знание классической методологии ведения проектов, сертификат PMP (будет преимуществом); умение делать качественные презентационные материалы, строить расчетные и финансовые модели, получать необходимую информацию в рамках интервью, оперативно анализировать, систематизировать, структурировать, консолидировать информацию; портфолио реализованных проектов, особенно финансовых (будет преимуществом).  Что мы предлагаем:  график работы 5/2; официальное оформление в соответствии ТК РФ; конкурентный уровень дохода: оклад + премии; медицинская страховка, страховка для выезжающих за границу; доплата к отпускному и больничному листу; дополнительные льготы при заключении брака и рождении детей; социальная поддержка при сложных жизненных ситуациях; льготное кредитование для сотрудников; обучение в корпоративном университете банка; корпоративная библиотека.","PMP, Финансовое моделирование",Более 6 лет,Нет,Промсвязьбанк,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,10:45:23 28/06/2022
Менеджер проекта,"О нас: RussiaRunning– российская группа компаний основанная в 2013 году, занимающаяся развитием любительского спорта в России. Мы продвигаем современный стандарт проведения спортивно-массовых мероприятий, основанный на интеграции культурно-развлекательных и спортивных активностей с максимальным использованием возможностей современных информационных и коммуникационных технологий. russiarunning.com | services.russiarunning.com В настоящее время ведение здорового образа жизни (ЗОЖ) стало не только полезным, но и модным увлечением. Все больше людей выбирают для себя активное занятие спортом, которое являются залогом здоровья и хорошего самочувствия. В связи с ростом интереса к нашему продукту и расширения нашего подразделения мы ищем менеджера проекта, который разделит наши стремления и поможет в достижении общих целей компании.   Требования к должности:  высшее образование, специальность «Менеджмент»-преимущество; опыт работы в программах 1С и Битрикс24, навык работы с презентациями (MS Power Point) будет преимуществом; уверенный пользователь ПК (MS Office);    Что нужно делать: На каждом спортивном мероприятии участник хочет быстро зарегистрироваться на событие и получить свой личный результат, на это и направлена наша работа! Необходимо готовить и реализовывать проектные решения по предоставлению услуг электронного хронометража и персональных сервисов платформы russiarunning.com, а именно:  проводить переговоры с Заказчиками и Поставщиками; готовить коммерческие предложения;   формировать и согласовать договоры, контролировать ход реализации проектов по организации спортивных мероприятий: отслеживать сроки прохождения и реализации всех этапов, возможные отклонения, продумывать пути решения, проводить анализ и оценку проектных результатов с фактически достигнутыми;   находить новых партнеров и предлагать услуги компании; взаимодействовать с другими подразделениями Компании в контексте реализации договора; сопровождать проекты от первого письма до закрывающих документов.    Что мы предлагаем:  комфортная адаптация к новой работе; участие в проектах, приносящих реальную пользу людям; доступ к бесконечному морю новых знаний; дружная, заряженная на успех и лидерство, команда; работа удаленно или в новом офисе в центре Ярославля; возможность стать членом сообщества бегунов или триатлонистов; бесплатное участие в забегах платформы RussiaRunning.com; официальный стартовый фикс от 40 тысяч (по результатам собеседования); дополнительные премии; неограниченный потенциал карьерного роста в компании.","Управление проектами, работа на результат, Работа в команде, Системный подход, Ведение переговоров, опытный пользователь ПК, Битрикс24",От 1 года до 3 лет,Нет,Мир бега,40 000 - 90 000 (Рубли) (Без вычета налогов),Ярославль,17:35:28 27/06/2022
Дизайнер,"Обязанности:  Разработка дизайна наружных и интерьерных рекламных вывесок, полиграфия подготовка эскизов для согласованиядопечатная подготовка файлов  Требования:  опыт работы 1 годчувство вкуса и стиля;креативность;работа в режиме многозадачности;стрессоустойчивость;умение реализовывать смелые идеи;владение графическими программами: Photoshop, CorelDraw;  Условия:  график работы с 9:00 до 18:00 обед с 13:00 до 14:00 в центе города","CorelDRAW, Adobe Photoshop, Креативность, Графический дизайн, MS PowerPoint",От 1 года до 3 лет,Нет,РегАрт-М,700 - 1 000 (Белорусские рубли) (С вычетом налогов),Борисов,17:35:50 31/05/2022
Head of Game Design,"APPSULOVE – продуктовая IT-компания, которая разрабатывает развлекательные мобильные приложения и игры.С 2016 года мы выпустили более 35 мобильных приложений и игр, в которые ежедневно играют миллионы пользователей.Наиболее известные приложения APPSU❤️: UNICORN, UNICORN 3D, Numberzilla, Diggerville, 3 Tiles, My Cat и другие. Наши продукты постоянно публикуются редакционными группами Apple App Store и Google Play.Наша миссия - стать одним из ведущих издателей на растущем рынке мобильных игр и приложений и сделать жизнь людей веселее с помощью классных мобильных продуктов.Если тебе это близко, присоединяйся к нам! Обязанности:  Создание и поддержка своего отдела гейм-дизайна; Долгосрочное планирование развития отдела; Оценка деятельности и менторинг подчиненных гейм-дизайнеров; Найм новых сотрудников; Еженедельное планирование выполнения текущих задач по проектам; Развитие и поддержка процессов разработки в геймдизайне; Генерация идей новых игр и их презентация совместно с командой; Контроль качества реализуемых фичей; Постановка задач и взаимодействие с другими отделами компании. Обмен опытом и развитие внутреннего комьюнити геймдизайнеров.  Что мы ожидаем:  Опыт работы в роли head/lead gd/producer на успешных продуктах; Знание принципов проектирования игровой логики, баланса, UI; Знание аудитории казуальных игр, умение понятно подать фичу; Знание рынка и актуальных трендов; Любовь к играм и желание их делать; Инициативность/проактивная позиция в работе; Лидерские навыки.Мы предлагаем:​​​​​​ Возможность работать удаленно или в офисе; Заработная плата с привязкой к валюте; Профессиональное и личностное развитие: внутренние и внешние митапы, семинары, конференции; Компенсация медицинского обслуживания, спортивных увлечений и занятий английским; 4 sick days в течение рабочего года; Гибкая система оплаты больничных; Полная занятость, гибкий график: начинай рабочий день с 9:00 до 11:00, выбирай удобный для себя график; Современная и производительная техника для работы; Подарки к праздникам.","Game Programming, gamedev",Более 6 лет,Нет,APPSULOVE,70 000 - 150 000 (Рубли) (С вычетом налогов),Минск,17:36:12 31/05/2022
    Cтарший специалист ИТ/ИБ,"Обязанности:  Установка/настройка ОС Windows/Linux; Техническая поддержка и консультация пользователей; Развёртывание, настройка и администрирование системного и прикладного программного обеспечения; Развитие и поддержание работоспособности действующих ИТ-сервисов; Выполнение обязанностей администратора систем криптографической защиты информации; Контроль процедур антивирусной защиты; Контроль процедур резервного копирования; Установка/настройка/обслуживание СКЗИ, СЗИ в т.ч. Secret Net Studio 8.5 Контроль предоставления сотрудникам Банка доступов в информационные системы; Участие в анализ и расследование инцидентов информационной безопасности, реагирование и подготовка отчетов;  Требования:  Высшее образование в области информационной безопасности или информационных технологий; Знание ОС Windows/Linux на уровне администратора; Знание работы сети и знания безопасности на каждом уровне (TCP/IP); Навыки составления инструкций и ведения сопроводительной документации по ИТ-сервисам; Знание технологий и процессов обеспечения информационной безопасности; Знание российского законодательства, нормативных актов и стандартов ЦБ РФ в области информационной безопасности; Знание основ криптографии; Понимание принципов функционирования АБС; Свободное владение информационными технологиями на уровне опытного пользователя или администратора; Навыки в разработке нормативной документации; Коммуникабельность, умение работать в команде и самостоятельно; Уверенный письменный и устный английский язык; Желание развиваться по направлению ИБ.  Условия:  Оформление по ТК РФ; ДМС; Компенсация питания; График работы пн.- пят. с 9-18; Доступ к материалам для подготовки к сертификации по ITIL/CISA/CISM.","Средства криптографической защиты информации, Информационная безопасность, Технические средства информационной защиты, Информационные технологии, Антивирусная защита сети",Более 6 лет,Нет,ДенизБанк Москва,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:36:37 27/06/2022
    Архитектор хранилища данных (DWH),"ОБЯЗАННОСТИ:  Разрабатывать, консолидировать, рационализировать корпоративные хранилища данных. Разрабатывать стратегии и архитектуры для корпоративных баз данных и информационных систем управления Непрерывно выявлять существующие и будущие потребности Авиакомпании в интеграции бизнес данных и автоматизации отчетности по оперативной и управленческой информации, а также осуществлять руководство соответствующими проектами. Инициировать, планировать и внедрять новые модели бизнес данных для различных подразделений. Руководить и обучать бизнес аналитиков (BI). Администрировать аналитические инструменты Внедрять интеграционные процессы данных различных источников для обеспечения консолидированной оперативной и управленческой информации. Предоставлять надежный и транспарентный сервис - отчеты, аналитику, модели и данные. Предоставлять консультации бизнес пользователям по использованию информации и бизнес систем. Управлять документацией по всем разработанным интеграционным процессам данных различных источников, архитектурным решениям баз данных и хранилищ данных Предлагать решения для департаментов по улучшению существующего подхода к отчетности. Внедрять технологии больших данных, расширенную аналитику, моделирование данных и т.д. Управлять сложными проектами, относящихся к зоне ответственности. Поддерживать разработанные решения – отчеты, аналитика, модели, интеграция данных и т.д  ТРЕБОВАНИЯ:  Высшее образование в области информационных технологий или в связанной области. Предыдущий опыт по специальности +/- 3 года. Знание баз данных. Знание и способность внедрять хранилища данных. Знание аналитических инструментов. Знание ETL процессов. Знание английского языка как минимум уровня upper-intermediate. Знание методологий моделирования данных Знание и способность выполнять интеллектуальный анализ данных, моделирование, методы прогнозирования. Знание и умение использовать различные платформы для построения бизнес-аналитики (Business Object, MicroStrategy, Power BI). Наличие навыков по управлению проектами. Умение оказывать квалифицированную своевременную поддержку бизнес пользователям. Способность работать в стрессовых ситуациях для соблюдения сроков исполнения работы. Способность выполнять несколько задач. Готовность принимать ответственность в самых разных задачах и эффективно тренировать других.","Бизнес-анализ, Power BI, ETL, Базы данных, SAP Business Objects, MicroStrategy, DWH",От 3 до 6 лет,Нет,"AIR ASTANA, АО",70 000 - 150 000 (Рубли) (С вычетом налогов),Алматы,17:36:39 31/05/2022
C++ Platform Developer,"Привет! На связи команда Awem – независимые разработчики мобильных игр ✋ С 2002 года мы выпустили 31 успешную игру, а наша команда выросла до 160 человек. Помогает нам в этом стремление делать игры с душой и смыслом. Одна из них, Cradle of Empires – первая нелинейная игра с открытым миром и распределенным геймплеем в жанре match3. Мы не просто гордимся своими достижениями, мы используем их для анализа ошибок и поиска точек роста. Это позволяет нам верить в нашу новую игру, которая показывает высокий уровень качества, подтвержденный хорошими метриками на софтлонче. Cradle of Empires выходит на 4 платформах – IOS, Android, UWP, Mac – и каждой из них мы уделяем особое внимание. Сейчас мы в поиске C++ Platform Developer, который будет работать над архитектурными задачами, связанными с унификацией подходов для разных платформ. Вы сможете глубже познакомиться с технологиями, которые востребованы на рынке, получить опыт взаимодействия с разного рода платформенными SDK и поучаствовать в создании сложных и стабильных кросс-платформенных решений. Какие задачи вам предстоит решать:    Разрабатывать новые версии и поддерживать качество платформозависимой части проекта. Реализовывать необходимый функционал для поддерживаемых платформ. Работать с внешними и системными API. Взаимодействовать с фичи-командами для улучшения существующей функциональности и внедрения новых возможностей.  Что для нас важно:  Уверенное использование C++ 11/14/17, STL. Опыт разработки и поддержки приложений для iOS или Android от 2-х лет. Глубокое знание Objective-С или NDK, SDK, Java. Знакомство с Microsoft Visual Studio (С++), XCode или Android Studio.  Будет плюсом:  Опыт работы с UWP – C#/.NET.  Почему Awem?​​​   Хорошие игры делают хорошие команды. Благодаря нашей Team Culture, мы строим такие команды, где каждый игрок вовлечен в процесс и может напрямую повлиять на развитие продукта.   Ни одна ваша ачивка не останется незамеченной. Кроме заработной платы, привязанной к курсу валюты, у нас есть квартальные бонусы, которыми мы отмечаем достижения коллег.   Мы стремимся давать искренний и качественный фидбек, который помогает вам развиваться и расти над собой. Мы знаем, что это непросто, но продолжаем этому учиться и уже сильно продвинулись в этом направлении.   Вам будет доступен Care bonus – наш способ заботы о сотрудниках. Это компенсация в рамках выделенной суммы любой целевой покупки. Вы сами определяете, на какую из 6 категорий потратить бонус: спорт, здоровье, развитие и др.   Вы выбираете комфортный для себя режим работы из любой точки мира. А мы позаботимся о формальностях и обеспечим необходимой техникой для работы как удаленно, так и из офиса.   Два раза в год всей командой мы встречаемся на Awem Camp и Awem New Year Party, где отмечаем успехи, делимся планами и зажигаем.   Тематические вечеринки и тимбилдинги, настолки по пятницам, активные чаты, скетч-сессии для художников, дни именинников – любим и умеем вместе веселиться в онлайне и офлайне.","Android SDK, Java, C#, Objective-C",От 1 года до 3 лет,Нет,AWEM,70 000 - 150 000 (Рубли) (С вычетом налогов),Минск,17:37:24 27/06/2022
Архитектор информационной безопасности,"О продукте: Расширяем команду профессионалов для участия в пуле проектов федерального масштаба В декабре 2020 года Сбербанк выиграл тендер Минцифры по оказанию услуг по созданию, переводу, и развитию государственных информационных систем на единой Цифровой Платформе РФ «ГосТех». SberTech займется осуществлением функций оператора Цифровой Платформе РФ «ГосТех», а также обеспечением её развития и технологического функционирования. Цифровая Платформа «ГосТеха» создается для обслуживания граждан, организаций и органов власти РФ с применением облачных технологий и обеспечением безопасности информации и масштабируемости. Задачи:  Работа с архитектурой нашей Платформы, адаптация под требования заказчиков для дальнейшего построения ГИС на базе Платформы Определение актуальных моделей угроз и нарушителей Выдача рекомендаций по наличию/отсутствию либо настройке компонентов Платформы в зависимости от класса системы, которая будет функционировать на Платформе. Определение технических требований к системе защиты информации информационной системы в соответствии с классом защищенности информационной системы и моделями угроз и нарушителей и требованиями российского законодательства; Проектирование архитектуры системы, интеграционных взаимодействий между компонентами системы, отдельных компонент, выполняющим функции безопасности с учетом требований по информационной безопасности; Участие в разработке проектной документации в части информационной безопасности в соответствии с нормативными документами и ГОСТ; Участие в подготовке КП, ФЭО и ТЗ на работы в области защиты информации; Выбор и обоснование к использованию программных и аппаратных средств защиты информации; Взаимодействие с заказчиками, подрядчиками и регуляторами (ФСБ России/ФСТЭК России) в рамках согласования архитектуры средств защиты информации и документации по информационной безопасности.  Для нас важно:  Знания современных угроз и уязвимостей, связанных с нарушением информационной безопасности, технологий, методов и средств защиты информации Знание и опыт работы с технологиями: OpenStack, Kubernetes, Hadoop, Druid, Kafka, PostgreSQL, OAuth, Java, WildFly, SpringBoot, Linux, Jenkins, Git, Apache Ignite, C/C++, Высшее физико-математическое или техническое образование в области информационной безопасности, либо высшее техническое образование и профессиональная переподготовка в области информационной безопасности; Уверенное знание нормативной документации в области защиты информации (ФЗ-152, ФЗ-149, ФЗ-63, ФЗ-187, постановления Правительства в области защиты информации, приказы ФСТЭК, ФСБ, ФАПСИ) и ГОСТ 34 серии; Знание основных принципов и методов защиты информации, в том числе криптографических методов; Знание принципов правового и организационного обеспечения защиты информации; Общее понимание типовой архитектуры и особенностей функционирования территориально-распределенных информационных систем; Общее понимание технологий и принципов работы инфраструктуры открытых ключей, защиты каналов связи, обеспечения целостности, антивирусной защиты, защиты от НСД, идентификации, аутентификации и авторизации, обнаружения вторжений, межсетевого экранирования, защиты сред виртуализации и контейнеризации; Опыт самостоятельного ведения проектов в области защиты информации с последующей защитой результатов.  Будет преимуществом:  Опыт работы по защите информации в государственных информационных системах; Опыт работы с удостоверяющими центрами и средствами электронной подписи. Наличие сертификатов в области информационной безопасности (CISSP, CISA, ECSA, и др.); Наличие сертификатов в области информационных технологий ( RedHat и др.).  Работа в SberTech ― это:  Проекты большого масштаба в которых есть возможность делать жизнь миллионов людей лучше; Сложные и интересные задачи: высоконагруженные сервисы, которые задают уровень для конкурентов качеством и технологиями; быстрый рост в трендовых направлениях; амбициозные цели перед каждым проектом; Оборудование: мощное железо, дополнительные мониторы ― все для решения масштабных задач и экспериментов; Льготная программа на покупку недвижимости в новостройке или строительство дома для IT от 4,7%; Команда: работа бок о бок со лучшими из IT-индустрии, каждый из которых может поделиться своей экспертизой; Профессиональное развитие: развиваем культуру профсообществ и внутри компании мы организуем meetup, встречи разработчиков и тестировщиков, семинары и тренинги, куда открыт доступ каждому сотруднику; Новый опыт: лучшие сотрудники выступают на ИТ-конференциях; Гибридный формат работы или офис Даниловский Форт - 10-15 минут от метро Тульская и МЦК Верхние Котлы, крытый паркинг для всех сотрудников, велопарковка; Здоровье и спорт: программа ДМС для сотрудников и их родственников, собственный тренажерный зал в офисе.","Информационная безопасность, Технические средства информационной защиты, Средства криптографической защиты информации, Java, Информационные технологии",От 3 до 6 лет,Нет,SberTech,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,09:51:10 27/06/2022
Модератор фотографий,"Обязанности:  Для модерации фотографий в программе Photoshop, требуются Фрилансеры.      Требования:  Необходимые требования:Опыт работы в программе Photoshop.    Условия:  Оплата сдельная. Свободный график Модерация 1 фотографии 0,02$ по курсу (8,5 тенге) Общий объём фотографий 1 000 000.","Adobe Photoshop, Пользователь ПК, Грамотность, Photoshop, Работа в условиях многозадачности",От 1 года до 3 лет,Нет,APARTAMENTY ALMATY,70 000 - 150 000 (Рубли) (С вычетом налогов),Алматы,17:37:49 31/05/2022
Frontend-разработчик (React),"Разработка универсальной платформы под мобильные приложения для клиентов компании в разных странах. Требования к вакансии:• Опыт работы Frontend разработчиком от 3-х лет• Знание и понимание ООП, понимание компонентного подхода• Уверенные знания JavaScript (ECMAScript), TypeScript, HTML и CSS• Хорошее понимание и опыт разработки SPA на основе React/Redux• Опыт использования систем сборки• Опыт использования любой из системы контроля версий• Умение писать модульные тесты. Опыт работы с одним из фреймворков (jest,mocha, jasmine, qunit)• Опыт использования css-препроцессоров (less, sass)• Опыт работы в Agile командеДополнительные требования:• Умение писать модульные тесты• Опыт работы с одним из фреймворков (jest, mocha, jasmine, qunit)• Опыт использования css-препроцессоров (less, sass)• Опыт работы в Agile команде• Наличие портфолио будет плюсомОбязанности:• Разработка интерфейсов с использованием React.js• Анализ существующего кодаУсловия:• Конкурентоспособная заработная плата• Корпоративное обучение и сертификация в технических и бизнес областях• Корпоративные развлекательные программы• Помощь при релокации в Москву• Работа удаленно или в офисе (Москва, Саратов, Пенза, Нижний Новгород, Уфа)","JavaScript, React, Less, TypeScript, CSS, HTML",От 3 до 6 лет,Нет,Bell Integrator,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,16:06:16 15/06/2022
Технический специалист (salebot),"Онлайн-школа нутрициологии «PRO-Здоровье» ищет в команду самого крутого технического специалиста.Миссия нашей компании - Менять качество жизни через осознанность людей в отношении своего здоровья и образа жизни!За более чем 3 года, нашими учениками стали более 50.000 человек. Мы ставим для себя амбициозные цели, держим фокус на рост и развитие, реализуем сложные и творческие задачи. Какие твои знания и навыки нам необходимы: • Отличное знание Salebot/AMOCRM/Бизон365/GetCourse (настройки, сегментация базы)• Умение верстки писем, сообщений в рассыльщиках Salebot/GetCourse и др.• Создание и сборка процессов GetCourse/Salebot• Техническая реализация вебинарных и автовебинарных воронокна Salebot и GetCourse• Навыки работы в видеоредакторах, HTML5, CSS3, Tilda Publishing• Навыки настроек воронок и администрирование АМОCRM;• Навыки верстки страниц по макету Задачи:• Настройка воронок в Salebot, обеспечение интеграции с АМОCRM, Бизон365, GetCourse• Контроль корректности работы сервисов и оперативное внесение корректировок• Поиск оптимальных способов настройки и интеграции сервисов;• Верстать письма в Getcourse и других расыльщиках• Создавать и настраивать вебинарные комнаты на Getcourse и Bizon365• Работать с процессами в Salebot, на Getcourse• Осуществлять техническую поддержку менеджеров отдела продаж по АМОCRM, онайлн-телефонии• Создавать продукты и предложения GetCourse Мы предлагаем:• Удаленный формат работы;• Долгосрочный проект• Взаимодействие 5/2 с 9 до 19 по Мск. Команду объединяют разные часовые пояса и города, поэтому стараемся быть всегда на связи и помогать друг другу• Испытательный срок всего 1 месяц• В первый месяц фиксированная оплата. Далее оклад + почасовая оплата• Связь с коллегами через корпоративный портал (Битрикс24)• Мы за прозрачные задачи, все условия оговариваются вначале• Для нас важно в коллегах самостоятельность и инициативность. Условия оплаты обсуждаются с успешным кандидатом.Возможно небольшое тестовое задание. Если для тебя не пустой звук ответственность, профессионализм, инициативность, возможность реализовывать сложные и творческие задачи в сжатые сроки, помогать большому количеству людей быть более здоровыми, то мы ждем именно тебя!!!","GetCourse, Организаторские навыки, CRM, Работа с большим объемом информации, amoCRM, Salebot",От 1 года до 3 лет,Нет,PRO-Здоровье,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:39:18 31/05/2022
